----------------------------------------------------------------
     Layer.Parameter         Param Tensor Shape         Param #
----------------------------------------------------------------
         gamma.gamma                     [1001]            1001
dynamics.egnn.embedding.weight                   [192, 3]             576
dynamics.egnn.embedding.bias                      [192]             192
dynamics.egnn.embedding_out.weight                   [3, 192]             576
dynamics.egnn.embedding_out.bias                        [3]               3
dynamics.egnn.e_block_0.gcl_0.edge_mlp.0.weight                 [192, 386]           74112
dynamics.egnn.e_block_0.gcl_0.edge_mlp.0.bias                      [192]             192
dynamics.egnn.e_block_0.gcl_0.edge_mlp.2.weight                 [192, 192]           36864
dynamics.egnn.e_block_0.gcl_0.edge_mlp.2.bias                      [192]             192
dynamics.egnn.e_block_0.gcl_0.node_mlp.0.weight                 [192, 384]           73728
dynamics.egnn.e_block_0.gcl_0.node_mlp.0.bias                      [192]             192
dynamics.egnn.e_block_0.gcl_0.node_mlp.2.weight                 [192, 192]           36864
dynamics.egnn.e_block_0.gcl_0.node_mlp.2.bias                      [192]             192
dynamics.egnn.e_block_0.gcl_0.att_mlp.0.weight                   [1, 192]             192
dynamics.egnn.e_block_0.gcl_0.att_mlp.0.bias                        [1]               1
dynamics.egnn.e_block_0.gcl_equiv.coord_mlp.0.weight                 [192, 386]           74112
dynamics.egnn.e_block_0.gcl_equiv.coord_mlp.0.bias                      [192]             192
dynamics.egnn.e_block_0.gcl_equiv.coord_mlp.2.weight                 [192, 192]           36864
dynamics.egnn.e_block_0.gcl_equiv.coord_mlp.2.bias                      [192]             192
dynamics.egnn.e_block_0.gcl_equiv.coord_mlp.4.weight                   [1, 192]             192
dynamics.egnn.e_block_1.gcl_0.edge_mlp.0.weight                 [192, 386]           74112
dynamics.egnn.e_block_1.gcl_0.edge_mlp.0.bias                      [192]             192
dynamics.egnn.e_block_1.gcl_0.edge_mlp.2.weight                 [192, 192]           36864
dynamics.egnn.e_block_1.gcl_0.edge_mlp.2.bias                      [192]             192
dynamics.egnn.e_block_1.gcl_0.node_mlp.0.weight                 [192, 384]           73728
dynamics.egnn.e_block_1.gcl_0.node_mlp.0.bias                      [192]             192
dynamics.egnn.e_block_1.gcl_0.node_mlp.2.weight                 [192, 192]           36864
dynamics.egnn.e_block_1.gcl_0.node_mlp.2.bias                      [192]             192
dynamics.egnn.e_block_1.gcl_0.att_mlp.0.weight                   [1, 192]             192
dynamics.egnn.e_block_1.gcl_0.att_mlp.0.bias                        [1]               1
dynamics.egnn.e_block_1.gcl_equiv.coord_mlp.0.weight                 [192, 386]           74112
dynamics.egnn.e_block_1.gcl_equiv.coord_mlp.0.bias                      [192]             192
dynamics.egnn.e_block_1.gcl_equiv.coord_mlp.2.weight                 [192, 192]           36864
dynamics.egnn.e_block_1.gcl_equiv.coord_mlp.2.bias                      [192]             192
dynamics.egnn.e_block_1.gcl_equiv.coord_mlp.4.weight                   [1, 192]             192
dynamics.egnn.e_block_2.gcl_0.edge_mlp.0.weight                 [192, 386]           74112
dynamics.egnn.e_block_2.gcl_0.edge_mlp.0.bias                      [192]             192
dynamics.egnn.e_block_2.gcl_0.edge_mlp.2.weight                 [192, 192]           36864
dynamics.egnn.e_block_2.gcl_0.edge_mlp.2.bias                      [192]             192
