----------------------------------------------------------------
     Layer.Parameter         Param Tensor Shape         Param #
----------------------------------------------------------------
         gamma.gamma                     [1001]            1001
dynamics.clof_net.embedding_node_in.weight                   [256, 2]             512
dynamics.clof_net.embedding_node_in.bias                      [256]             256
dynamics.clof_net.embedding_node_out.weight                   [2, 256]             512
dynamics.clof_net.embedding_node_out.bias                        [2]               2
dynamics.clof_net.fuse_edge.0.weight                   [128, 8]            1024
dynamics.clof_net.fuse_edge.0.bias                      [128]             128
dynamics.clof_net.fuse_edge.2.weight                 [128, 128]           16384
dynamics.clof_net.fuse_edge.2.bias                      [128]             128
dynamics.clof_net.clof_gcl_0.edge_mlp.0.weight                 [256, 641]          164096
dynamics.clof_net.clof_gcl_0.edge_mlp.0.bias                      [256]             256
dynamics.clof_net.clof_gcl_0.edge_mlp.2.weight                 [256, 256]           65536
dynamics.clof_net.clof_gcl_0.edge_mlp.2.bias                      [256]             256
dynamics.clof_net.clof_gcl_0.node_mlp.0.weight                 [256, 512]          131072
dynamics.clof_net.clof_gcl_0.node_mlp.0.bias                      [256]             256
dynamics.clof_net.clof_gcl_0.node_mlp.2.weight                 [256, 256]           65536
dynamics.clof_net.clof_gcl_0.node_mlp.2.bias                      [256]             256
dynamics.clof_net.clof_gcl_0.layer_norm.weight                      [256]             256
dynamics.clof_net.clof_gcl_0.layer_norm.bias                      [256]             256
dynamics.clof_net.clof_gcl_0.coord_mlp.0.weight                 [256, 256]           65536
dynamics.clof_net.clof_gcl_0.coord_mlp.0.bias                      [256]             256
dynamics.clof_net.clof_gcl_0.coord_mlp.2.weight                   [3, 256]             768
dynamics.clof_net.clof_gcl_1.edge_mlp.0.weight                 [256, 641]          164096
dynamics.clof_net.clof_gcl_1.edge_mlp.0.bias                      [256]             256
dynamics.clof_net.clof_gcl_1.edge_mlp.2.weight                 [256, 256]           65536
dynamics.clof_net.clof_gcl_1.edge_mlp.2.bias                      [256]             256
dynamics.clof_net.clof_gcl_1.node_mlp.0.weight                 [256, 512]          131072
dynamics.clof_net.clof_gcl_1.node_mlp.0.bias                      [256]             256
dynamics.clof_net.clof_gcl_1.node_mlp.2.weight                 [256, 256]           65536
dynamics.clof_net.clof_gcl_1.node_mlp.2.bias                      [256]             256
dynamics.clof_net.clof_gcl_1.layer_norm.weight                      [256]             256
dynamics.clof_net.clof_gcl_1.layer_norm.bias                      [256]             256
dynamics.clof_net.clof_gcl_1.coord_mlp.0.weight                 [256, 256]           65536
dynamics.clof_net.clof_gcl_1.coord_mlp.0.bias                      [256]             256
dynamics.clof_net.clof_gcl_1.coord_mlp.2.weight                   [3, 256]             768
dynamics.clof_net.clof_gcl_2.edge_mlp.0.weight                 [256, 641]          164096
dynamics.clof_net.clof_gcl_2.edge_mlp.0.bias                      [256]             256
dynamics.clof_net.clof_gcl_2.edge_mlp.2.weight                 [256, 256]           65536
dynamics.clof_net.clof_gcl_2.edge_mlp.2.bias                      [256]             256
dynamics.clof_net.clof_gcl_2.node_mlp.0.weight                 [256, 512]          131072
dynamics.clof_net.clof_gcl_2.node_mlp.0.bias                      [256]             256
dynamics.clof_net.clof_gcl_2.node_mlp.2.weight                 [256, 256]           65536
