----------------------------------------------------------------
     Layer.Parameter         Param Tensor Shape         Param #
----------------------------------------------------------------
         gamma.gamma                     [1001]            1001
dynamics.egnn.embedding.weight                   [256, 2]             512
dynamics.egnn.embedding.bias                      [256]             256
dynamics.egnn.embedding_out.weight                   [2, 256]             512
dynamics.egnn.embedding_out.bias                        [2]               2
dynamics.egnn.e_block_0.gcl_0.edge_mlp.0.weight                 [256, 514]          131584
dynamics.egnn.e_block_0.gcl_0.edge_mlp.0.bias                      [256]             256
dynamics.egnn.e_block_0.gcl_0.edge_mlp.2.weight                 [256, 256]           65536
dynamics.egnn.e_block_0.gcl_0.edge_mlp.2.bias                      [256]             256
dynamics.egnn.e_block_0.gcl_0.node_mlp.0.weight                 [256, 512]          131072
dynamics.egnn.e_block_0.gcl_0.node_mlp.0.bias                      [256]             256
dynamics.egnn.e_block_0.gcl_0.node_mlp.2.weight                 [256, 256]           65536
dynamics.egnn.e_block_0.gcl_0.node_mlp.2.bias                      [256]             256
dynamics.egnn.e_block_0.gcl_0.att_mlp.0.weight                   [1, 256]             256
dynamics.egnn.e_block_0.gcl_0.att_mlp.0.bias                        [1]               1
dynamics.egnn.e_block_0.gcl_equiv.coord_mlp.0.weight                 [256, 514]          131584
dynamics.egnn.e_block_0.gcl_equiv.coord_mlp.0.bias                      [256]             256
dynamics.egnn.e_block_0.gcl_equiv.coord_mlp.2.weight                 [256, 256]           65536
dynamics.egnn.e_block_0.gcl_equiv.coord_mlp.2.bias                      [256]             256
dynamics.egnn.e_block_0.gcl_equiv.coord_mlp.4.weight                   [1, 256]             256
dynamics.egnn.e_block_1.gcl_0.edge_mlp.0.weight                 [256, 514]          131584
dynamics.egnn.e_block_1.gcl_0.edge_mlp.0.bias                      [256]             256
dynamics.egnn.e_block_1.gcl_0.edge_mlp.2.weight                 [256, 256]           65536
dynamics.egnn.e_block_1.gcl_0.edge_mlp.2.bias                      [256]             256
dynamics.egnn.e_block_1.gcl_0.node_mlp.0.weight                 [256, 512]          131072
dynamics.egnn.e_block_1.gcl_0.node_mlp.0.bias                      [256]             256
dynamics.egnn.e_block_1.gcl_0.node_mlp.2.weight                 [256, 256]           65536
dynamics.egnn.e_block_1.gcl_0.node_mlp.2.bias                      [256]             256
dynamics.egnn.e_block_1.gcl_0.att_mlp.0.weight                   [1, 256]             256
dynamics.egnn.e_block_1.gcl_0.att_mlp.0.bias                        [1]               1
dynamics.egnn.e_block_1.gcl_equiv.coord_mlp.0.weight                 [256, 514]          131584
dynamics.egnn.e_block_1.gcl_equiv.coord_mlp.0.bias                      [256]             256
dynamics.egnn.e_block_1.gcl_equiv.coord_mlp.2.weight                 [256, 256]           65536
dynamics.egnn.e_block_1.gcl_equiv.coord_mlp.2.bias                      [256]             256
dynamics.egnn.e_block_1.gcl_equiv.coord_mlp.4.weight                   [1, 256]             256
dynamics.egnn.e_block_2.gcl_0.edge_mlp.0.weight                 [256, 514]          131584
dynamics.egnn.e_block_2.gcl_0.edge_mlp.0.bias                      [256]             256
dynamics.egnn.e_block_2.gcl_0.edge_mlp.2.weight                 [256, 256]           65536
dynamics.egnn.e_block_2.gcl_0.edge_mlp.2.bias                      [256]             256
